county,state,households_SOURCE_Census_ACS_5yr_B19001,"share_income_above_59,865_DERIVED_interpolated",est_share_fico_ge670_state_DERIVED_ESTIMATE,addressable_households_DERIVED (hh x income share x credit share)
"Edgefield County, SC",SC,9768,0.5545,0.6809,3688
"Cassia County, ID",ID,8495,0.5941,0.7305,3686
"Jones County, IA",IA,8198,0.6161,0.7288,3681
"Falls Church city, VA",VA,6273,0.8163,0.7172,3673
"Jerome County, ID",ID,8277,0.6068,0.7305,3669
"Wyandot County, OH",OH,8999,0.5791,0.704,3669
"Lassen County, CA",CA,9247,0.5531,0.7172,3668
"Grand County, CO",CO,7475,0.6714,0.7305,3666
"Union County, SD",SD,7310,0.6833,0.7338,3665
"Randolph County, IN",IN,10364,0.5057,0.699,3664
"Jefferson Davis Parish, LA",LA,12068,0.4853,0.6254,3663
"Jersey County, IL",IL,7965,0.6417,0.7156,3658
"Marshall County, MS",MS,13187,0.4612,0.6006,3653
"Clare County, MI",MI,12521,0.4102,0.7106,3650
"Kent County, MD",MD,8493,0.6067,0.7057,3636
"Hickman County, TN",TN,9435,0.5589,0.6875,3625
"Barton County, KS",KS,10380,0.4875,0.7156,3621
"Grant County, KY",KY,9224,0.5695,0.6892,3621
"Jackson County, IA",IA,8242,0.6026,0.7288,3620
"Custer County, OK",OK,11044,0.4988,0.657,3620
"Putnam County, GA",GA,10435,0.5406,0.6402,3611
"Spencer County, KY",KY,7308,0.7148,0.6892,3600
"Juniata County, PA",PA,9025,0.5573,0.7156,3600
"Logan County, WV",WV,12760,0.4141,0.6809,3598
"King William County, VA",VA,7352,0.6816,0.7172,3594
"Stutsman County, ND",ND,9437,0.5191,0.7321,3586
"Taylor County, KY",KY,10260,0.5057,0.6892,3576
"Piatt County, IL",IL,6924,0.7214,0.7156,3574
"Jefferson County, KS",KS,7412,0.673,0.7156,3569
"Lincoln County, MS",MS,13158,0.4508,0.6006,3562
"White County, TN",TN,11226,0.4609,0.6875,3557
"Chambers County, AL",AL,13434,0.4167,0.6351,3555
"Montgomery County, KY",KY,11005,0.4684,0.6892,3553
"Bandera County, TX",TX,9255,0.5995,0.6402,3552
"Milam County, TX",TX,10152,0.5457,0.6402,3547
"Green Lake County, WI",WI,8285,0.5752,0.7438,3545
"Jackson County, WI",WI,8274,0.5753,0.7438,3540
"Waynesboro city, VA",VA,9841,0.5013,0.7172,3538
"Uinta County, WY",WY,7716,0.6367,0.7189,3532
"Whitley County, KY",KY,13541,0.3767,0.6892,3516
"Adams County, WI",WI,9517,0.4966,0.7438,3515
"Menominee County, MI",MI,10361,0.477,0.7106,3512
"Titus County, TX",TX,11156,0.4912,0.6402,3508
"Cedar County, IA",IA,7622,0.6312,0.7288,3506
"Park County, MT",MT,8366,0.5719,0.7321,3503
"Carroll County, AR",AR,11347,0.4698,0.657,3502
"Hart County, GA",GA,11034,0.4955,0.6402,3501
"Malheur County, OR",OR,10292,0.4646,0.7321,3501
"Franklin County, AL",AL,11954,0.4602,0.6351,3494
"Douglas County, IL",IL,7765,0.6278,0.7156,3488
"Mercer County, KY",KY,9181,0.5509,0.6892,3486
"Sumner County, KS",KS,8970,0.5427,0.7156,3484
"Cass County, TX",TX,11805,0.4599,0.6402,3475
"Montgomery County, NC",NC,10643,0.47,0.6941,3472
"Clinton County, MO",MO,8329,0.5918,0.7024,3462
"Scotland County, NC",NC,12580,0.3965,0.6941,3462
"Carroll County, TN",TN,11541,0.4358,0.6875,3458
"Montour County, PA",PA,7862,0.6134,0.7156,3451
"Iosco County, MI",MI,11713,0.4131,0.7106,3438
"Davison County, SD",SD,8899,0.5264,0.7338,3437
"Pike County, OH",OH,10866,0.449,0.704,3435
"Calhoun County, TX",TX,8670,0.6177,0.6402,3429
"Page County, VA",VA,9911,0.4815,0.7172,3423
"Lampasas County, TX",TX,8390,0.637,0.6402,3422
"Polk County, NC",NC,8976,0.5482,0.6941,3415
"Inyo County, CA",CA,8040,0.589,0.7172,3396
"Taylor County, WI",WI,8046,0.5655,0.7438,3384
"Sevier County, UT",UT,7503,0.6178,0.7288,3378
"Minidoka County, ID",ID,8107,0.569,0.7305,3370
"Pike County, AL",AL,12484,0.4236,0.6351,3358
"Miller County, MO",MO,9857,0.485,0.7024,3358
"Dunklin County, MO",MO,11257,0.424,0.7024,3352
"San Miguel County, NM",NM,11931,0.4101,0.6842,3348
"Hughes County, SD",SD,7253,0.628,0.7338,3343
"Starke County, IN",IN,8983,0.5322,0.699,3341
"Colonial Heights city, VA",VA,7530,0.618,0.7172,3338
"Benzie County, MI",MI,7708,0.609,0.7106,3336
"Jackson County, OK",OK,9775,0.5194,0.657,3336
"Henderson County, TN",TN,10920,0.444,0.6875,3333
"Spencer County, IN",IN,8078,0.5901,0.699,3332
